well_id,well_name,lat,long,gse,aquifer_id
USGS-423324121554501,"35.00S/07.00E-07BAC01",42.5566498646727,-121.929218994135,4155,201
USGS-423326121420901,"35.00S/08.00E-12AAD01",42.5571302834358,-121.702415381793,4295,ID_00000
USGS-423327121530701,"35.00S/07.00E-09ABB01",42.5573558099898,-121.88650658712,4285,201
USGS-423331120463801,"35.00S/16.00E-01CDB01",42.5583452588824,-120.778332207624,7390,ID_00000
USGS-423331121531001,"35.00S/07.00E-09BAA01",42.55836111111111,-121.88718333333334,4292,201
USGS-423332120462701,"35.00S/16.00E-01DCB01",42.5586980482226,-120.77515428239,7390,ID_00000
USGS-423336121524401,"35.00S/07.00E-04DDD01",42.5599475225638,-121.879017524054,4222,201
USGS-423337121532101,"35.00S/07.00E-04CDC01",42.56027519134,-121.890390101552,4315,201
USGS-423343121525401,"35.00S/07.00E-04DDB01",42.5619808128793,-121.88163709223,4190,201
USGS-423344121554201,"35.00S/07.00E-06CDA01",42.562341483907,-121.928366306781,4165,201
USGS-423345121404301,"35.00S/09.00E-05CCA02",42.5625946193537,-121.678570615489,4280,ID_00000
USGS-423346121404301,"35.00S/09.00E-05CCA01",42.5626835076685,-121.678567839872,4280,ID_00000
USGS-423350121433101,"35.00S/08.00E-02DAC01",42.563932544704,-121.725299319745,4430,ID_00000
USGS-423351121552001,"35.00S/07.00E-06DBD01",42.563947070347,-121.923402299131,4220,201
USGS-423357121423001,"35.00S/08.00E-01DBA01",42.5657884322413,-121.708376819547,4267,ID_00000
USGS-423357121532501,"35.00S/07.00E-04CAB01",42.5655612441964,-121.891381910675,4446,201
USGS-423400121410201,"35.00S/09.00E-06ADD02",42.5666417060889,-121.683795815958,4325,ID_00000
USGS-423400121410202,"35.00S/09.00E-06ADD01",42.5666417068268,-121.683759704158,4325,ID_00000
USGS-423408121430901,"35S/08E-01BCC",42.5687492782274,-121.720288230109,4305,ID_00000
USGS-423414121432101,"35.00S/08.00E-02AAD01",42.5705103339234,-121.722363312459,4280,ID_00000
USGS-423426121554601,"34.00S/07.00E-31CDC01",42.5739830283056,-121.929322129832,4150,201
USGS-423429121525301,"34.00S/07.00E-33DCD01",42.5746417999588,-121.882495722477,4195,201
USGS-423435121513901,"34.00S/07.00E-34DDB01",42.5762586466819,-121.862020136399,4210,201
USGS-423443121404001,"34.00S/09.00E-32CBD01",42.5786223013463,-121.677695998088,4280,ID_00000
USGS-423443121554401,"34.00S/07.00E-31CAC01",42.5784802110937,-121.928866652533,4160,201
USGS-423445121424201,"34.00S/08.00E-36CAD01",42.57927777777778,-121.71161388888889,4287,ID_00000
USGS-423448121521201,"34.00S/07.00E-34CAB01",42.5798363054595,-121.871131600958,4210,201
USGS-423449121504001,"34.00S/07.00E-35DBA01",42.5803976667084,-121.844458584512,4210,ID_00000
USGS-423453121512501,"34.00S/07.00E-35BCC01",42.58148888888889,-121.85693333333333,4328,201
USGS-423454121503901,"34.00S/07.00E-35ACD01",42.5817004353645,-121.844228050805,4220,ID_00000
USGS-423500121513901,"34.00S/07.00E-34ADB01",42.5833085961998,-121.860734139993,4178,201
