well_id,well_name,lat,long,aquifer_id
1161,Crescent Expl.,18.046,-76.9838,3
1166,Rose Hill (Cardiff Hall - Runaway Bay),18.4468,-77.3266,9
1168,Ardenne Farm,18.0241,-76.9878,3
1171,Top Hill,18.4501,-77.6744,8
1175,National Heroes Circle CH,17.9858,-76.7882,2
1177,Ariguanabo Exp. (Well C),18.0278,-76.9792,3
1179,Hopewell CH,17.9492,-77.779,5
1180,Kraal 2,17.975,-77.2886,4
1184,Sandy Bay,17.949,-77.1606,4
1185,Hopewell Expl. V,17.9488,-77.7758,5
1187,Richmond 2,18.445522,-77.2521,9
1191,Dundee,18.4543,-77.7278,8
1194,Tarrants,18.0123,-76.8075,2
1195,Flamstead 2 (Discovery Bay),18.4465,-77.4208,9
1201,Chalmers Avenue - Fairview Station,18.0152,-76.8159,2
1202,High Hope - St. Ann's Bay,18.4279,-77.2084,9
1208,Belle Plain 2  (ABD) CHC 9/99,17.9796,-77.3211,4
1214,Content Village Expl. 2 (Limestone),17.944,-77.2834,4
1217,Cavaliers,17.9883,-76.7861,2
1219,Garredu,18.4307,-77.6255,8
1223,Denbigh Crawle,17.9801,-77.2884,4
1229,Hyde Hall,18.4317,-77.5698,8
1230,Stewart Castle,18.4719,-77.566,8
1232,Bannister (Colbeck well 2),17.9661,-77.1207,3
1233,Mount Salem CH,18.4684,-77.9001,7
1234,Unity Valley,18.2537,-77.1116,9
1239,Bellvue (near roadside) CH,18.4297,-77.8832,7
1240,Arthurs Mount 1 (near Lime Hall),18.4073,-77.2239,9
1242,Hopewell (R),18.4475,-77.393,9
1243,Lovely Point Borehole,18.0494,-77.6706,5
1246,Forest Hills (Red Hills),18.0462,-76.8227,2
1251,Hampstead Road,17.9876,-76.7609,2
1254,Lyndhurst Road,17.9975,-76.7955,2
1256,Oakland CH,18.035,-76.7948,2
1262,Greenwood,18.5016,-77.7346,8
1267,Montgomery Corner,17.9919,-76.7874,2
1269,Up Park Camp,17.9919,-76.7802,2
1270,Dunrobin - Calabar,18.0265,-76.8046,2
1272,Elletson Flats CH,17.9997,-76.7385,2
1273,Fort Charles,17.9258,-77.781,5
1274,Fattening Pasture 1,17.959,-77.2501,4
1275,Hope Veterinary CH,18.0195,-76.7538,2
1277,Ettingdom 2,18.4482,-77.5639,9
1279,Bigwoods,17.9228,-77.715,5
1281,Chancery Hall 2,18.0517,-76.8175,2
1286,Hope Gardens,18.0231,-76.7471,2
1289,Clarke Town  3A (2R),18.418446,-77.540773,9
1290,Inverness 2,17.9017,-77.177,4
1291,Pepper-Phantilands,18.0342,-77.6058,5
1292,Shortwood College C.H.,18.0454,-76.7816,2
1294,Carlton  Dug,18.4822,-77.7726,8
1296,Havendale 1,18.0576,-76.8115,2
1297,Pegasus - New Kingston - Oxford Road,18.0017,-76.788,2
1299,Curatoe Hill CH,17.9461,-77.2516,4
1301,White Hall,18.1062,-77.8463,5
1303,Palmers Cross Exp. IV,17.9571,-77.2182,4
1304,Moneague BH 7 (Woodfield),18.3134,-77.07,9
1309,Swanswick - Clarkes Town,18.414979,-77.500326,9
1310,Palm,18.1904,-77.0292,3
1311,Beacon (Expl. II),17.8963,-77.7383,5
1312,Independence Park,17.9994,-76.7734,2
1313,National Stadium CH,17.9998,-76.7739,2
1316,Mineral Heights,17.9432,-77.2369,4
1317,Green Park,18.472,-77.7004,8
1320,Devon House 2,18.0156,-76.7896,2
1322,Primrose Hill,18.4453,-77.4055,9
1323,Devon House CH,18.0149,-76.7917,2
1328,Southampton,18.0181,-77.6729,5
1332,Moneague BH 9 (Hopewell),18.3405,-77.0888,9
1336,Pedro Cross (Little Park) - Exp. III,17.8985,-77.7265,5
1337,Beacon CH,17.9055,-77.7419,5
1340,Burnt Ground - near Santa Cruz (Sevens Corners),18.0353,-77.7041,5
1341,Kings House,18.0187,-76.7823,2
1343,Moneague BH 6 (Walkerswood),18.3181,-77.0678,9
1345,New Forrest 1,17.8949,-77.5706,5
1346,New Forrest 2,17.8949,-77.5706,5
1349,Kings House 2,18.0197,-76.7814,2
1351,Moneague BH 5 (Walkerswood East),18.3184,-77.0796,9
1354,Campion College CH,18.0191,-76.7696,2
1358,Moneague BH 4 (Haddon),18.3262,-77.0889,9
1359,Oxford CH,18.4517,-77.5815,8
1367,Moneague BH 8 (Walkerswood West),18.3267,-77.0937,9
1368,Nain 20,17.9792,-77.6262,5
1372,Pedro Cross CH,17.8917,-77.7169,5
1377,Nain 2,17.9711,-77.6104,5
1384,Nain 15,17.9649,-77.604,5
1389,Brown's Town  - Minard 1,18.4006,-77.3846,9
1394,Nain 13,17.9369,-77.6117,5
1404,Albion 2,17.8921,-76.6126,1
1411,Amity,18.2488,-78.0999,6
1413,Anchovy,18.4113,-77.9333,7
1428,Bath Pen,18.2501,-78.1211,6
1447,Bridge Pen 1 (near house),17.9576,-77.0366,3
1453,Bullards CH 1 (Destroyed),17.9349,-77.2964,4
1459,Bushy Park CH 4,17.9303,-77.0743,3
1472,Chung's,18.0274,-76.9853,3
1473,Cinnamon Hill,18.5085,-77.8128,7
1474,Claremont,17.9509,-77.1178,3
1475,Clifton School Dug,17.8774,-77.3327,4
1477,Coaling Station BH 37- Port Royal,17.9419,-76.8355,2
1483,Comfort Village CH,17.9409,-77.3292,4
1492,Dacosta,17.8005,-77.2315,4
1494,Decoy CH,17.9588,-77.3506,4
1496,Denbigh Farm Dug 1,17.9599,-77.2727,4
1506,Dunbeholding,17.9603,-76.9289,3
1508,Easington,17.9212,-76.5858,1
1510,Ebony Park,17.9211,-77.3516,4
1512,Esher,18.2852,-76.8672,10
1513,Esher - Big River,18.2777,-76.864,10
1515,Exeter 2,17.838,-77.3041,4
1519,Fellowship Hall 1,17.9605,-76.9705,3
1520,Ferris Cross,18.2295,-78.0668,6
1524,Flint River Estate 1,18.4501,-78.0486,7
1527,Moneague BH 10 (Friendship),18.3414,-77.0714,9
1530,Garden Bush 1,18.0995,-76.9917,3
1531,Giblatore 1,18.1521,-77.0082,3
1534,Gibralter,17.8853,-77.3344,4
1537,Granville Expl. II,18.4456,-77.8935,7
1538,Glasgow,18.4507,-77.8061,7
1540,Golden Grove,18.4156,-77.697,8
1549,Greenwich 2,17.7905,-77.273,4
1557,Half Way Tree 5,17.9739,-76.9099,3
1559,Half Way Tree 2,17.976,-76.908,3
1560,Half Way Tree 6 (new well),17.9724,-76.9062,3
1564,Hayes Common CH,17.8562,-77.2419,4
1565,Haynes Sandy Bay,17.8274,-77.1879,4
1582,Howards Block B CHC 9/99,17.9135,-77.2535,4
1583,Hume Pen,17.9191,-77.1039,3
1590,Innswood Factory 2 (Lime Walk 2),17.984805,-77.019235,3
1592,Jacobs Hut 2,17.9723,-77.274,4
1594,Kelly Pen 1,17.9178,-77.1134,3
1595,Kelly Pen 2 (South),17.9167,-77.1111,3
1599,Kemps Hill 5,17.8549,-77.2834,4
1602,Kilby Pen,17.9462,-77.0735,3
1605,Kirkpatrick Hall,18.459,-77.8472,7
1607,Knapdale,18.4039,-77.3284,9
1608,Knights,17.8047,-77.289,4
1609,Knoxwood,17.996,-77.7461,5
1615,Leogan,18.4629,-77.8328,7
1625,Little London,18.2533,-78.2204,6
1629,Lluidas Vale PC,18.1306,-77.1591,3
1642,Mitchel Town,17.8051,-77.2036,4
1644,Morant Estates 4,17.9143,-76.4423,1
1645,Morelands 2,17.8166,-77.2197,4
1647,Mount Gotham CH,18.0266,-76.9169,3
1652,Naseberry Grove 2,18.0116,-77.024,3
1664,Newcastle - Muchette Well 208,18.0669,-77.646,5
1665,Newlands 2A,17.9748,-76.8969,3
1666,Newton (Subarans),18.1226,-77.7498,5
1668,Nutfield,18.304,-76.8447,10
1670,Old Harbour Vaz 1,17.9398,-77.1144,3
1671,Old Harbour Spanish,17.9388,-77.1145,3
1675,O'Tooles 1,18.018,-76.9837,3
1677,Paradise Bridge,18.1144,-76.9416,3
1688,Rockfort Power Plant 3,17.9636,-76.7305,2
1692,Portland Cottage,17.7767,-77.2361,4
1722,Retreat,18.389,-77.4046,9
1729,Rhymesbury 2,17.9283,-77.2979,4
1730,Rhymesbury 8,17.9273,-77.3178,4
1731,Rhymesbury Dairy,17.9192,-77.3199,4
1732,Rifle Range CH,18.0062,-76.9288,3
1735,Rocky Point,17.7755,-77.2599,4
1736,Roehampton,18.4009,-77.9075,7
1741,Rowington 4,17.8902,-77.3188,4
1747,San San (Golf Course),18.165,-76.3975,10
1748,Sandy Bay,17.9361,-77.1664,4
1750,Sevens CH,17.9956,-77.203,4
1752,Seville,18.4421,-77.2097,9
1756,Shallow Pastures 3  Abd CHC 9/99,17.8634,-77.3272,4
1767,South Syndicate,17.9797,-76.8922,3
